No.,domain,name
594,njuct.edu.cn,Nanjing University of Chemical Technology
595,nju.edu.cn,Nanjing University
596,njue.edu.cn,Nanjing University of Economics
597,njupt.edu.cn,Nanjing University of Posts and Telecommunications
598,njust.edu.cn,Nanjing University of Science and Technology
599,njutcm.edu.cn,Nanjing University of Traditional Chinese Medicine
600,njuts.cn,Nanjing Union Theological Seminary
601,nku.nankai.edu.cn,Nankai University
602,nottingham.edu.cn,The University of Nottingham Ningbo China
603,nsmc.edu.cn,Northern Sichuan Medical College
604,nuaa.edu.cn,Nanjing University of Aeronautics and Astronautics
605,nudt.edu.cn,National University of Defense Technology
606,nwau.edu.cn,Northwest A&F University
607,nwnu.edu.cn,Northwest Normal University Lanzhou
608,nwpu.edu.cn,Northwest Polytechnical University Xi'an
609,nwu.edu.cn,Northwest University Xi'an
610,nxmc.edu.cn,Ningxia Medical College
611,nxu.edu.cn,Ningxia University
612,ouc.edu.cn,Ocean University of China
613,peizheng.com.cn,Guangdong Peizheng College
614,pku.edu.cn,Peking University
615,pzhu.edu.cn,Panzhihua University
616,qdu.edu.cn,Qingdao University
617,qfnu.edu.cn,Qufu Normal University
618,qhnu.edu.cn,Qinghai Normal University
619,qhrtvu.edu.cn,Qinghai Radio & Television University
620,qhu.edu.cn,Qinghai University
621,qust.edu.cn,Qingdao University of Science and Technology
622,qzu.edu.cn,Qiongzhou University
623,ruc.edu.cn,Renmin University of China
624,sandau.edu.cn,Shanghai Sanda University
625,sanxiau.edu.cn,Chongqing Three Gorges University
626,sbs.edu.cn,Shanghai Business School
627,scau.edu.cn,South China Agricultural University
628,sccu.edu.cn,South China Construction University
629,scnu.edu.cn,South China Normal University
630,scu.edu.cn,Sichuan University
631,scut.edu.cn,South China University of Technology
632,sdada.edu.cn,Shandong University of Art and Design
633,sdau.edu.cn,Shandong Agricultural University
634,sdie.edu.cn,Shandong Economic University
635,sdju.edu.cn,Shanghai Dainji University
636,sdmu.edu.cn,Shandong Medical University
637,sdnu.edu.cn,Shandong Normal University
638,sdu.edu.cn,Shandong University
639,sdust.edu.cn,Shandong University of Science and Technology
640,sdutcm.edu.cn,Shandong University of Triaditional Chinese Medicine
641,sdut.edu.cn,Shandong University of Technology
642,sdufe.edu.cn,Shandong University of Finance and Economics
643,seu.edu.cn,Southeast University
644,sgu.edu.cn,Shaoguan University
645,shanghai_edu.customs.gov.cn,Shanghai Customs College
646,shfu.edu.cn,Shanghai Fisheries University
647,shift.edu.cn,Shanghai Institue of Foreign Trade
648,shisu.edu.cn,Shanghai International Studies University
649,shmtu.edu.cn,Shanghai Maritime University
650,shmu.edu.cn,Shanghai Medical University
651,shouhua.net.cn,Shanghai Ouhua Vocational Technical College
652,sh-sipopolytechnic.com,Shanghai Sipo Polytechnic
653,shsmu.edu.cn,Shanghai Second Medical University
654,shspu.edu.cn,Shanghai Second Polytechnic University
655,shtdu.edu.cn,Shanghai TieDao University
656,shtu.edu.cn,Shanghai Normal University
657,shtvu.edu.cn,Shanghai Television University
658,shu.edu.cn,Shanghai University
659,shufe.edu.cn,Shanghai University of Finance and Economics
660,shutcm.edu.cn,Shanghai University of Traditional Chinese Medicine and Pharmacology
661,shzu.edu.cn,Shihezi University
662,sicau.edu.cn,Sichuan Agricultural University
663,sicnu.edu.cn,Sichuan Normal University
664,sisu.edu.cn,Sichuan International Studies University
665,sjtu.edu.cn,Shanghai Jiaotong University
666,sjzu.edu.cn,Shenyang Jianzhu University
667,smmu.edu.cn,2nd Military Medical University
668,snnu.edu.cn,Shaanxi Normal University
669,snnu.edu.cn,Shanxi Normal University
670,stu.edu.cn,Shantou University
671,suda.edu.cn,Suzhou University
672,sues.edu.cn,Shanghai University of Engineering Science
673,sustc.edu.cn,South University of Science and Technology of China
674,swau.edu.cn,Southwest Agricultural University
675,swfc.edu.cn,Southwest Forestry University
676,swjtu.edu.cn,Southwest Jiaotong University
677,swnu.edu.cn,Southwest University
678,swpu.edu.cn,Southwest Petroleum University
679,swsm.cn,Chongqing Normal University Foreign Trade and Business College
680,swufe.edu.cn,Southwest University of Finance and Economics
681,swun.edu.cn,Southwest University of Nationalities
682,swupl.edu.cn,Southwest University of Political Science and Law
683,swust.edu.cn,Southwest University of Science and Technology
684,swuyc.edu.cn,South West University Yucai College
685,sxau.edu.cn,Shanxi Agricultural University
686,sxu.edu.cn,Shanxi University
687,syict.edu.cn,Shenyang Institute of Chemical Technology
688,syphu.edu.cn,Shenyang Pharmaceutical University
689,sypu.edu.cn,Shenyang Polytechnic University
690,sytu.edu.cn,Southern Yangtze University
691,syu.edu.cn,Shenyang University
692,szu.edu.cn,Shenzhen University
693,tijmu.edu.cn,Tianjin Medical University
694,tjarts.edu.cn,Tianjin Academy of Fine Art
695,tjcu.edu.cn,Tianjin University of Commerce
696,tjmu.edu.cn,Tongji Medical University
697,tjnu.edu.cn,Tianjin Normal University
698,tjpu.edu.cn,Tianjin Polytechnic University
699,tjrtvu.edu.cn,Tianjin Open University
700,tju.edu.cn,Tianjin University
701,tjufe.edu.cn,Tianjin University of Finance & Economics
702,tjut.edu.cn,Tianjin University of Technology
703,tmmu.edu.cn,3rd Military Medical University
704,tongji.edu.cn,Tongji University
705,tsinghua.edu.cn,Tsinghua University
706,ttmc.edu.cn,Tibet Tibetan Medical College
707,tyut.edu.cn,Taiyuan University of Technology
708,tzc.edu.cn,Taizhou College
709,uestc.edu.cn,University of Electronic Science and Technology of China
710,uheeyc.edu.cn,University of Hydraulic Electric Engineering
711,uibe.edu.cn,University of International Business and Economics
712,ujn.edu.cn,University of Jinan
713,umcollege.com,Shanghai City College
714,usc.edu.cn,South China University
715,usst.edu.cn,Shanghai University of Science and Technology
716,ustb.edu.cn,Beijing University of Science and Technology
717,ustb.edu.cn,University of Science and Technology Beijing
718,ustc.edu.cn,University of Science and Technology of China
719,utibet.edu.cn,Tibet University
720,uvu.edu.cn,Urumqi Vocational University
721,wcums.edu.cn,West China University of Medical Sciences
722,wdsdjxy.com,Wudanshan Taoist College
723,whapu.edu.cn,Wuhan Automobile Polytechnical University
724,whtu.edu.cn,Wuhan Transportation University
725,whu.edu.cn,Wuhan University
726,whut.edu.cn,Wuhan University of Technology
727,wsm.whu.edu.cn,Wuhan University School of Medicine
728,wtusm.edu.cn,Wuhan Technical University of Surveying and Mapping
729,wuhee.edu.cn,Wuhan University of Hydraulic and Electric Engineering
730,wxuli.edu.cn,Wuxi University of Light Industry
731,wyu.edu.cn,Wuyi University
732,wzmu.net,Wenzhou Medical College
733,wzu.edu.cn,Wenzhou University
734,xafa.edu.cn,Xi'an Academy of Fine Art
735,xahu.edu.cn,Xi'an Highway University
736,xauat.edu.cn,Xi'an University of Architecture and Technology
737,xaut.edu.cn,Xi'an University of Technology
738,xhcom.edu.cn,Xinghai Conservatory of Music
739,xidian.edu.cn,Xi'an University of Electronic Science and Technology
740,xiju.edu.cn,Xijiang University
741,xisu.edu.cn,Xi'an International Studies University
742,xjau.edu.cn,Xinjiang Agriculture University
743,xjnu.edu.cn,Xinjiang Normal University
744,xjtlu.edu.cn,Xi'an Jiaotong-Liverpool University
745,eurasia.edu,Xi'an Eurasia University
746,xjtu.edu.cn,Xi'an Jiaotong University
747,xju.edu.cn,Xinjiang University
748,xjufe.edu.cn,Xinjiang University of Finance and Economics
749,xmu.edu.cn,Xiamen University
750,xtnu.edu.cn,Xiangtan Normal University
751,xtu.edu.cn,Xiangtan University
752,xza.cn,Tibet Agricultural and Animal Husbandry College
753,xzmy.edu.cn,Tibet University of Nationalities
754,xznu.edu.cn,Xuzhou Normal University
755,yangtzeu.edu.cn,Yangtze University
756,yau.edu.cn,Yan'an University
757,ybu.edu.cn,Yanbian University
758,ybust.edu.cn,Yanbian University of Science and Technology
759,yizhuan.com,Huaihua Medical College
760,ynau.edu.cn,Yunnan Agriculture University
761,ynnu.edu.cn,Yunnan Normal University
762,ynu.edu.cn,Yunnan University
763,ysu.edu.cn,Yan Shan University
764,ytet.edu.cn,Yantai Education Institute & Yantai Television University
765,ytnc.edu.cn,Ludong University
766,ytu.edu.cn,Yantai University
767,yznu.cn,Yangtze Normal University
768,yzu.edu.cn,Yangzhou University
769,zdsoft.com.cn,Zhengda Software College
770,zgfxy.cn,Buddhist Acamedy of China
771,zhnut.edu.cn,Zhongnan University of Technology
772,zjfc.edu.cn,Zhejiang Forestry University
773,zjgsu.edu.cn,Zhejiang Gongshang University
774,zjnu.edu.cn,Zhejiang Normal University
775,zjou.edu.cn,Zhanjiang Ocean University
776,zju.edu.cn,Zhejiang University
777,zjut.edu.cn,Zhejiang University of Technology
778,znuel.net,Zhongnan University of Economics and Law
779,znufe.edu.cn,Zhongnan University of Finance and Economics
780,zsb.scfai.edu.cn,Sichuan Fine Art Institute
781,zstu.edu.cn,Zhejiang Sci-Tech University
782,zsu.edu.cn,Zhongshan University
783,zzgc.edu.cn,Zhengzhou Grain University
784,zzut.edu.cn,Zhengzhou University of Technology
785,cust.edu.cn & ieec.cust.edu.cn,Changchun University of Science and Technology
786,stu.gcu.edu.cn,Guangzhou College of South China University of Technology
787,xhu.edu.cn & stu.xhu.edu.cn & mail.xhu.edu.cn,Xihua University
788,nuist.edu.cn,Nanjing University of Information Science and Technology
789,lynu.edu.cn,Luoyang Normal University
790,hbc.edu.cn,Hubei Business College
