,domain,SPF,DKIM,DMARC
247,seu.edu.cn,True,False,True
248,sgu.edu.cn,False,False,False
249,shanghai_edu.customs.gov.cn,False,False,False
250,shfu.edu.cn,False,False,False
251,shift.edu.cn,False,False,False
252,shisu.edu.cn,True,False,True
253,shmtu.edu.cn,True,False,True
254,shmu.edu.cn,True,False,False
255,shouhua.net.cn,False,False,False
256,sh-sipopolytechnic.com,False,False,False
257,shsmu.edu.cn,True,False,True
258,shspu.edu.cn,False,False,False
259,shtdu.edu.cn,False,False,False
260,shtu.edu.cn,False,False,False
261,shtvu.edu.cn,False,False,False
262,shu.edu.cn,True,False,False
263,shufe.edu.cn,True,False,False
264,shutcm.edu.cn,False,False,False
265,shzu.edu.cn,True,False,False
266,sicau.edu.cn,True,False,False
267,sicnu.edu.cn,True,False,False
268,sisu.edu.cn,True,False,False
269,sjtu.edu.cn,True,False,False
270,sjzu.edu.cn,False,False,False
271,smmu.edu.cn,True,False,False
272,snnu.edu.cn,True,False,False
273,snnu.edu.cn,True,False,False
274,stu.edu.cn,True,False,False
275,suda.edu.cn,True,False,True
276,sues.edu.cn,True,False,True
277,sustc.edu.cn,False,False,False
278,swau.edu.cn,False,False,False
279,swfc.edu.cn,False,False,False
280,swjtu.edu.cn,True,False,False
281,swnu.edu.cn,False,False,False
282,swpu.edu.cn,True,False,False
283,swsm.cn,False,False,False
284,swufe.edu.cn,True,False,False
285,swun.edu.cn,True,False,False
286,swupl.edu.cn,True,False,False
287,swust.edu.cn,True,False,False
288,swuyc.edu.cn,False,False,False
289,sxau.edu.cn,True,False,True
290,sxu.edu.cn,True,False,False
291,syict.edu.cn,False,False,False
292,syphu.edu.cn,True,False,False
293,sypu.edu.cn,False,False,False
294,sytu.edu.cn,False,False,False
295,syu.edu.cn,False,False,True
296,szu.edu.cn,True,False,True
297,tijmu.edu.cn,True,False,False
298,tjarts.edu.cn,False,False,False
299,tjcu.edu.cn,True,False,False
300,tjmu.edu.cn,True,False,False
301,tjnu.edu.cn,True,False,False
