,name,domain,SPF,DMARC,DKIM
228,Shanghai Sanda University,sandau.edu.cn,True,False,False
229,Chongqing Three Gorges University,sanxiau.edu.cn,True,False,False
230,Shanghai Business School,sbs.edu.cn,True,True,False
231,South China Agricultural University,scau.edu.cn,True,False,False
232,South China Construction University,sccu.edu.cn,False,False,False
233,South China Normal University,scnu.edu.cn,True,False,False
234,Sichuan University,scu.edu.cn,True,False,False
235,South China University of Technology,scut.edu.cn,True,True,False
236,Shandong University of Art and Design,sdada.edu.cn,True,False,False
237,Shandong Agricultural University,sdau.edu.cn,True,False,False
238,Shandong Economic University,sdie.edu.cn,False,False,False
239,Shanghai Dainji University,sdju.edu.cn,True,True,False
240,Shandong Medical University,sdmu.edu.cn,True,True,False
241,Shandong Normal University,sdnu.edu.cn,True,True,False
242,Shandong University,sdu.edu.cn,True,False,False
243,Shandong University of Science and Technology,sdust.edu.cn,True,False,False
244,Shandong University of Triaditional Chinese Medicine,sdutcm.edu.cn,True,True,False
245,Shandong University of Technology,sdut.edu.cn,True,False,False
246,Shandong University of Finance and Economics,sdufe.edu.cn,True,False,False
247,Southeast University,seu.edu.cn,True,True,False
248,Shaoguan University,sgu.edu.cn,False,False,False
249,Shanghai Customs College,shanghai_edu.customs.gov.cn,False,False,False
250,Shanghai Fisheries University,shfu.edu.cn,False,False,False
251,Shanghai Institue of Foreign Trade,shift.edu.cn,False,False,False
252,Shanghai International Studies University,shisu.edu.cn,True,True,False
253,Shanghai Maritime University,shmtu.edu.cn,True,True,False
254,Shanghai Medical University,shmu.edu.cn,True,False,False
255,Shanghai Ouhua Vocational Technical College,shouhua.net.cn,False,False,False
256,Shanghai Sipo Polytechnic,sh-sipopolytechnic.com,False,False,False
257,Shanghai Second Medical University,shsmu.edu.cn,True,True,False
258,Shanghai Second Polytechnic University,shspu.edu.cn,False,False,False
259,Shanghai TieDao University,shtdu.edu.cn,False,False,False
260,Shanghai Normal University,shtu.edu.cn,False,False,False
261,Shanghai Television University,shtvu.edu.cn,False,False,False
262,Shanghai University,shu.edu.cn,True,False,False
263,Shanghai University of Finance and Economics,shufe.edu.cn,True,False,False
264,Shanghai University of Traditional Chinese Medicine and Pharmacology,shutcm.edu.cn,False,False,False
265,Shihezi University,shzu.edu.cn,True,False,False
266,Sichuan Agricultural University,sicau.edu.cn,True,False,False
267,Sichuan Normal University,sicnu.edu.cn,True,False,False
268,Sichuan International Studies University,sisu.edu.cn,True,False,False
269,Shanghai Jiaotong University,sjtu.edu.cn,True,False,False
270,Shenyang Jianzhu University,sjzu.edu.cn,False,False,False
271,2nd Military Medical University,smmu.edu.cn,True,False,False
